versanddatum;woche;empfaenger;oeffner;downloader
2022-05-02 16:32;2022 KW 18;71407;25452;4928
2022-05-09 17:06;2022 KW 19;71298;26032;5160
2022-05-16 15:43;2022 KW 20;71163;26966;4590
2022-05-23 16:36;2022 KW 21;71041;25036;5520
2022-05-30 15:05;2022 KW 22;71026;25344;6495
2022-06-06 16:32;2022 KW 23;70929;25578;5415
2022-06-13 15:18;2022 KW 24;70705;26820;8288
2022-06-20 14:48;2022 KW 25;70513;28134;10658
2022-06-27 15:05;2022 KW 26;70421;27860;6683
2022-07-04 16:26;2022 KW 27;70264;28682;8903
2022-07-11 16:37;2022 KW 28;70184;27120;6053
2022-07-18 15:15;2022 KW 29;70319;25084;6045
2022-07-25 14:57;2022 KW 30;70087;25914;4973
2022-08-01 15:30;2022 KW 31;70027;24988;7613
2022-08-08 16:27;2022 KW 32;70013;24528;5325
2022-08-15 17:09;2022 KW 33;69933;22992;6660
2022-08-22 16:10;2022 KW 34;69861;24824;4868
2022-08-29 15:10;2022 KW 35;70048;24722;3908
2022-09-05 16:30;2022 KW 36;70047;26178;4253
2022-09-12 15:40;2022 KW 37;70071;26424;4035
2022-09-19 17:26;2022 KW 38;70059;25296;4463
2022-09-26 16:54;2022 KW 39;69938;25128;2760
2022-10-03 16:27;2022 KW 40;69894;27836;6885
2022-10-10 16:14;2022 KW 41;69850;26770;4673
2022-10-17 17:32;2022 KW 42;69807;23772;4433
2022-10-24 17:40;2022 KW 43;69779;26474;4343
2022-10-31 16:07;2022 KW 44;69722;25412;2925
2022-11-07 18:06;2022 KW 45;69679;25548;3713
2022-11-14 16:28;2022 KW 46;63983;20864;3000
2022-11-21 16:18;2022 KW 47;69904;25428;3375
2022-11-28 17:57;2022 KW 48;63927;20548;2438
2022-12-05 16:42;2022 KW 49;63888;20822;2588
2022-12-12 17:09;2022 KW 50;63898;20496;2715
2022-12-19 15:01;2022 KW 51;63854;20234;2175
2022-12-26 16:23;2022 KW 52;63515;19762;3930
2023-01-02 15:12;2023 KW 01;65264;21762;3075
2023-01-09 17:36;2023 KW 02;66741;22888;4545
2023-01-16 16:24;2023 KW 03;66706;22724;3113
2023-01-23 18:28;2023 KW 04;64465;22406;2970
2023-01-30 15:42;2023 KW 05;75624;29516;4635
2023-02-06 16:51;2023 KW 06;75291;25542;4005
2023-02-13 17:10;2023 KW 07;75196;27882;5183
2023-02-20 14:38;2023 KW 08;74771;24110;3083
2023-02-27 18:24;2023 KW 09;71669;29256;9081
2023-03-06 19:37;2023 KW 10;71588;27662;6174
2023-03-13 15:59;2023 KW 11;71725;25586;6166
2023-03-20 17:12;2023 KW 12;72890;26951;5172
2023-03-27 17:45;2023 KW 13;72828;25988;7918
2023-04-03 16:23;2023 KW 14;72814;25509;5538
2023-04-10 18:40;2023 KW 15;74828;24601;7126
2023-04-17 15:27;2023 KW 16;74751;26562;5209
2023-04-24 14:51;2023 KW 17;74951;26453;4182
2023-05-01 17:16;2023 KW 18;73549;27487;4466
2023-05-08 19:15;2023 KW 19;72874;27481;4196
2023-05-15 14:49;2023 KW 20;71460;25802;4552
2023-05-22 15:32;2023 KW 21;71337;25631;2815
