empfangsdatum;finanzen;politik;soziales;sport;technik;wirtschaft
2022-01-04;3;5;5;4;5;7
2022-01-09;7;9;8;10;1;1
2022-01-15;2;7;4;7;9;7
2022-01-23;9;6;8;8;7;9
2022-01-26;4;10;9;10;3;9
2022-01-26;10;4;10;8;7;6
2022-02-08;5;9;4;10;10;4
2022-02-11;2;1;8;7;7;3
2022-02-17;7;6;6;8;8;8
2022-02-22;3;4;8;10;2;2
2022-02-27;8;10;8;9;10;10
2022-02-29;3;7;3;7;1;7
2022-03-04;1;4;2;8;7;6
2022-03-12;6;9;9;9;8;7
2022-03-18;2;8;4;10;4;8
2022-03-24;1;5;6;10;9;6
2022-03-31;7;3;8;8;6;4
2022-04-03;3;10;7;9;7;8
2022-04-08;4;8;7;8;3;9
2022-04-15;6;5;5;10;5;6
2022-04-23;7;10;4;7;10;7
2022-04-27;1;6;6;9;5;7
2022-05-02;10;8;3;6;9;9
2022-05-05;3;5;2;10;7;10
2022-05-11;3;9;8;9;9;6
2022-05-11;5;8;4;6;7;8
2022-05-16;2;5;10;9;7;7
2022-05-20;9;7;2;10;4;9
2022-05-23;7;7;4;9;3;6
2022-06-02;1;10;7;7;9;7
2022-06-19;5;3;3;8;6;7
2022-06-26;3;7;4;10;1;10
2022-07-05;1;5;5;7;9;2
2022-07-16;5;9;7;10;3;8
2022-08-01;6;4;9;9;3;6
2022-08-04;1;10;6;7;10;8
2022-08-06;2;7;2;10;2;8
2022-08-11;4;8;7;8;8;4
2022-08-14;2;4;10;9;1;3
2022-08-25;1;10;6;10;5;2
2022-09-07;10;9;8;9;8;10
2022-09-13;3;5;10;7;9;10
2022-09-24;4;9;2;9;7;1
2022-09-30;7;5;4;8;4;3
2022-10-04;6;7;3;9;9;1
2022-10-06;2;9;9;10;8;3
2022-10-15;8;4;7;10;5;2
2022-10-24;5;10;6;4;3;8
2022-10-29;4;4;8;9;10;8
2022-11-04;7;9;6;5;7;2
2022-11-04;3;3;10;10;5;2
2022-11-08;7;7;6;7;7;3
2022-11-14;1;5;6;9;8;1
2022-11-20;2;9;3;10;3;3
2022-11-23;4;3;5;8;6;3
2022-12-05;7;10;9;9;9;1
2022-12-08;10;7;8;7;4;6
2022-12-12;7;9;6;10;10;3
2022-12-17;1;5;3;9;7;1
2022-12-19;5;6;7;7;4;5
2022-12-27;7;8;10;9;1;10
2023-01-04;6;9;5;4;7;6
2023-01-08;9;3;9;6;3;4
2023-01-13;8;8;10;7;1;7
2023-01-19;10;3;8;9;4;9
2023-01-27;4;9;9;10;2;6
2023-02-01;9;4;10;8;1;7
2023-02-05;9;4;8;5;3;10
2023-02-11;4;3;10;9;2;7
2023-02-15;7;5;9;7;1;4
2023-02-23;3;4;4;10;4;8
2023-02-23;2;10;9;9;2;10
2023-02-29;9;1;10;5;2;2
2023-03-05;10;3;7;10;1;9
2023-03-12;2;6;8;8;1;9
2023-03-16;4;7;10;3;4;7
2023-03-19;8;4;8;5;2;10
2023-03-20;7;10;7;7;1;7
2023-04-02;10;2;9;10;3;6
2023-04-05;7;4;9;8;2;8
2023-04-14;9;5;10;7;1;9
2023-04-23;6;7;9;4;1;5
2023-04-28;3;3;9;9;4;10
2023-05-02;7;9;7;7;1;4
2023-05-11;9;7;10;9;1;9
2023-05-16;10;5;9;10;2;9
2023-05-17;5;9;9;7;3;5
2023-05-20;8;10;7;7;2;7
2023-05-24;9;4;8;9;1;8
2023-05-24;5;6;10;3;3;10
2023-05-29;7;7;9;8;1;9
